thermal-mi,thermal-MW,safe-mi,safe-MW,max-mi,max-MW
207.5750728,6619.688805,205.9743986,3103.237437,165.6374096,7181.081139
211.096556,6619.688805,209.4958818,3068.796189,169.1588928,7045.038212
214.6180391,6619.688805,213.017365,3034.354942,172.680376,6910.717346
218.1395223,6619.688805,216.5388481,2999.913694,176.2018591,6771.230294
221.6610055,6619.688805,220.0603313,2965.472447,179.7233423,6636.909429
225.1824886,6619.688805,223.5818145,2931.031199,183.2448255,6499.144439
228.7039718,6619.688805,227.1032976,2896.589952,186.7663086,6361.379449
232.225455,6619.688805,230.6247808,2862.148704,190.2877918,6223.614459
235.7469381,6619.688805,234.146264,2825.985394,193.809275,6089.293594
239.2684213,6619.688805,237.6677471,2791.544147,197.3307581,5949.806541
242.7899045,6619.688805,241.1892303,2757.1029,200.8522413,5829.262175
246.3113876,6619.688805,244.7107135,2722.661652,204.3737245,5744.881119
249.8328708,6619.688805,248.2321966,2686.498342,207.8952076,5662.222125
253.354354,6619.688805,251.7536798,2662.389469,211.4166908,5577.841069
256.8758371,6619.688805,255.275163,2641.72472,214.938174,5493.460012
260.3973203,6619.688805,258.7966461,2629.670284,218.4596571,5410.801018
263.9188034,6619.688805,262.3181293,2605.561411,221.9811403,5328.142024
267.4402866,6619.688805,265.8396124,2595.229036,225.5026235,5245.48303
270.9617698,6619.688805,269.3610956,2571.120163,229.0241066,5161.101974
274.4832529,6619.688805,272.8825788,2560.787789,232.5455898,5078.44298
278.0047361,6619.688805,276.4040619,2536.678916,236.067073,4997.506048
281.5262193,6619.688805,279.9255451,2526.346541,239.5885561,4914.847055
285.0477024,6619.688805,283.4470283,2502.237668,243.1100393,4832.188061
288.5691856,6619.688805,286.9685114,2490.183231,246.6315225,4747.807004
292.0906688,6619.688805,290.4899946,2469.518483,250.1530056,4666.870073
295.6121519,6619.688805,294.0114778,2452.297859,253.6744888,4611.764077
299.1336351,6619.688805,297.5329609,2438.52136,257.195972,4556.658081
302.6551183,6619.688805,301.0544441,2414.412487,260.7174551,4501.552085
306.1766014,6619.688805,304.5759273,2398.913926,264.2389383,4446.446089
309.6980846,6619.688805,308.0974104,2376.527115,267.7604214,4393.062155
313.2195678,6619.688805,311.6188936,2357.584429,271.2819046,4334.512034
316.7410509,6619.688805,315.1403768,2338.641743,274.8033878,4284.572226
320.2625341,6619.688805,318.6618599,2312.810807,278.3248709,4226.022105
323.7840173,6619.688805,322.1833431,2299.034308,281.8463541,4174.360234
327.3055004,6619.688805,325.7048263,2273.203372,285.3678373,4115.810113
330.8269836,6619.688805,329.2263094,2259.426873,288.8893204,4064.148242
334.3484668,6619.688805,332.7477926,2233.595938,292.4108036,4009.042246
337.8699499,6619.688805,336.2692758,2219.819439,295.9322868,3950.492125
341.3914331,6619.688805,339.7907589,2193.988503,299.4537699,3902.274378
344.9129163,6619.688805,343.3122421,2180.212004,302.9752531,3857.500757
348.4343994,6619.688805,346.8337253,2154.381068,306.4967363,3817.893322
351.9558826,6619.688805,350.3552084,2140.60457,310.0182194,3778.285887
355.4773658,6619.688805,353.8766916,2121.661883,313.5397026,3740.400515
358.9988489,6619.688805,357.3981748,2111.329509,317.0611858,3700.793081
362.5203321,6619.688805,360.9196579,2100.997135,320.5826689,3662.907708
366.0418153,6619.688805,364.4411411,2080.332386,324.1041521,3621.578211
369.5632984,6619.688805,367.9626243,2073.444137,327.6256353,3583.692839
373.0847816,6619.688805,371.4841074,2059.667638,331.1471184,3544.085405
376.6062648,6619.688805,375.0055906,2039.002889,334.6686016,3506.200032
380.1277479,6619.688805,378.5270738,2035.558765,338.1900848,3466.592598
383.6492311,6619.688805,382.0485569,2018.338141,341.7115679,3426.985163
387.1707143,6619.688805,385.5700401,1997.673392,345.2330511,3389.099791
390.6921974,6619.688805,389.0915233,1995.95133,348.7545343,3351.214419
394.2136806,6619.688805,392.6130064,1977.008644,352.2760174,3321.939358
397.7351638,6619.688805,396.1344896,1959.78802,355.7975006,3289.220173
401.2566469,6619.688805,399.6559728,1954.621833,359.3189838,3259.945113
404.7781301,6619.688805,403.1774559,1933.957085,362.8404669,3232.392115
408.2996132,6619.688805,406.6989391,1921.902648,366.3619501,3204.839117
411.8210964,6619.688805,410.2204222,1911.570274,369.8834333,3172.119932
415.3425796,6619.688805,413.7419054,1890.905525,373.4049164,3139.400747
418.8640627,6619.688805,417.2633886,1884.017276,376.9263996,3110.125686
422.3855459,6619.688805,420.7848717,1868.518714,380.4478828,3082.572688
425.9070291,6619.688805,424.3063549,1847.853966,383.9693659,3053.297628
429.4285122,6619.688805,427.8278381,1844.409841,387.4908491,3020.578443
432.9499954,6619.688805,431.3493212,1822.02303,391.0123323,2987.859258
436.4714786,6619.688805,434.8708044,1808.246531,394.5338154,2960.30626
439.9929617,6619.688805,438.3922876,1799.636219,398.0552986,2932.753262
443.5144449,6619.688805,441.9137707,1778.971471,401.5767818,2906.922326
447.0359281,6619.688805,445.4352539,1770.361159,405.0982649,2877.647266
449.7570742,6619.688805,448.7966697,1757.101279,408.6197481,2863.870767
,,,,412.1412312,2832.873644
,,,,415.6627144,2815.65302
,,,,419.1841976,2793.266209
,,,,422.7056807,2763.991149
,,,,426.2271639,2750.21465
,,,,429.7486471,2719.217527
,,,,433.2701302,2701.996904
,,,,436.7916134,2679.610093
,,,,440.3130966,2650.335032
,,,,443.8345797,2636.558533
,,,,447.3560629,2605.561411
,,,,449.7570742,2599.103677
