,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
42036,p46003,9,30198,264.0,156296.978,139986.211,16310.767,20.721,188.032
42037,p46003,10,30199,270.0,58917.248,44999.989,13917.259,1.207,203.533
42038,p46005,8,26017,258.0,54131.464,42915.459,11216.005,0.996,266.469
42039,p46005,8,26018,270.0,145014.925,129083.332,15931.592,22.573,234.898
42040,p46005,8,26019,270.0,76144.024,49774.241,26369.783,1.927,251.568
42041,p46005,8,26020,258.0,151528.147,126505.094,25023.052,22.283,231.255
42042,p46005,8,26397,258.0,159445.268,143845.692,15599.576,24.905,234.898
42043,p46005,8,26398,258.0,105344.129,89296.882,16047.247,13.003,234.898
42044,p46005,8,26399,252.0,62401.477,42313.476,20088.001,0.9,239.036
42045,p46005,8,26400,270.0,109895.573,85917.894,23977.679,11.765,231.255
42046,p46005,8,26401,264.0,151997.417,126095.747,25901.67,18.258,225.356
42047,p46005,8,26402,258.0,115432.404,84636.707,30795.696,7.61,267.999
42048,p46005,8,26777,264.0,150254.404,135430.692,14823.711,23.629,234.898
42049,p46005,8,26778,258.0,108699.457,85352.192,23347.264,12.109,234.898
42050,p46005,8,26779,258.0,74699.7,52843.926,21855.774,2.34,226.643
42051,p46005,8,26780,270.0,90774.594,61261.26,29513.334,3.51,221.936
42052,p46005,8,26781,264.0,158092.198,130264.884,27827.314,18.539,207.126
42053,p46005,8,26782,270.0,160153.064,129973.943,30179.121,18.915,254.572
42054,p46005,8,27157,270.0,86151.777,72146.785,14004.992,5.267,262.967
42055,p46005,8,27158,252.0,134111.265,115668.33,18442.934,15.155,213.881
42056,p46005,8,27159,270.0,78465.949,59182.623,19283.327,3.277,214.691
42057,p46005,8,27160,264.0,281262.021,51628.884,229633.137,2.089,207.126
42058,p46005,8,27161,258.0,138496.978,110556.374,27940.604,13.646,207.089
42059,p46005,8,27162,264.0,193219.423,162317.834,30901.589,25.166,207.089
42060,p46005,8,27538,264.0,190238.849,167380.559,22858.29,25.985,182.07
42061,p46005,8,27539,264.0,78699.16,56842.066,21857.094,2.88,202.984
42062,p46005,8,27540,258.0,75241.469,49356.859,25884.61,1.837,196.987
42063,p46005,8,27541,252.0,134735.415,111015.088,23720.328,13.491,197.564
42064,p46005,8,27542,270.0,186964.737,163814.848,23149.89,25.011,197.564
42065,p46005,9,27537,270.0,126134.466,119948.0,6186.466,16.757,263.402
42066,p46007,9,30556,258.0,53691.606,88013.277,-34321.67,7.02,224.444
42067,p46007,9,30557,270.0,34567.267,70263.077,-35695.809,4.5,224.444
42068,p46007,9,30558,276.0,88008.339,123917.137,-35908.798,16.169,224.444
42069,p46007,9,30559,276.0,82626.583,115139.034,-32512.452,18.842,267.217
42070,p46007,9,30937,264.0,39649.072,74726.553,-35077.482,5.152,235.918
42071,p46007,9,30938,282.0,88207.72,124214.953,-36007.234,16.821,235.918
42072,p46007,9,31314,252.0,69274.49,95979.411,-26704.921,9.344,283.088
42073,p46007,9,31315,270.0,110766.975,143138.13,-32371.155,21.351,241.473
42074,p46007,9,31316,276.0,68727.375,97087.909,-28360.534,9.779,241.293
42075,p46007,9,31317,276.0,57665.607,92427.98,-34762.373,8.397,241.473
42076,p46007,9,31318,270.0,45224.588,75313.967,-30089.379,5.707,257.633
42077,p46007,9,31319,276.0,21856.026,57336.734,-35480.708,6.062,267.217
42078,p46007,9,31699,270.0,67945.851,104790.094,-36844.244,17.582,267.217
42079,p46007,10,30555,276.0,104566.874,140177.301,-35610.426,18.876,223.867
42080,p46007,10,30934,270.0,5603.506,41208.806,-35605.3,0.72,273.537
42081,p46007,10,30935,270.0,1752.621,35735.407,-33982.786,0.09,261.682
42082,p46007,10,30936,282.0,2373.221,42097.487,-39724.265,0.795,250.133
42083,p46007,10,30939,270.0,31680.838,67325.534,-35644.697,7.322,267.217
42084,p46007,10,31695,276.0,114361.758,155372.056,-41010.297,23.211,261.592
42085,p46007,10,31696,282.0,102490.69,142575.58,-40084.89,21.035,241.473
42086,p46007,10,31697,270.0,106876.758,141334.48,-34457.722,20.246,241.473
42087,p46007,10,31698,264.0,97390.328,129650.433,-32260.105,17.659,258.93
42088,p46009,7,32862,216.0,168364.559,141914.319,26450.239,21.051,160.761
42089,p46009,7,33241,246.0,172121.662,171128.964,992.699,27.119,205.623
42090,p46009,8,32482,264.0,161467.051,143142.554,18324.497,25.561,139.244
42091,p46009,8,32483,258.0,121909.436,92211.054,29698.382,14.093,139.244
42092,p46009,8,32861,270.0,141634.016,144757.367,-3123.351,21.396,172.213
42093,p46009,8,32863,216.0,163010.815,138766.404,24244.411,24.717,139.244
42094,p46009,9,32101,264.0,61428.02,49970.411,11457.609,1.89,172.933
42095,p46009,9,32102,270.0,71950.944,51649.111,20301.833,2.197,161.391
42096,p46009,9,32103,270.0,110238.26,81798.504,28439.756,11.431,139.244
42097,p46009,9,32481,264.0,104515.99,96725.027,7790.963,9.876,172.213
42098,p46011,8,26788,258.0,177105.474,136817.51,40287.965,19.876,130.181
42099,p46011,8,26789,258.0,108865.066,44235.937,64629.129,1.17,142.982
42100,p46011,8,26790,270.0,158835.335,99957.941,58877.394,10.642,121.683
42101,p46011,8,27168,258.0,105309.389,44528.188,60781.201,1.17,145.142
42102,p46011,8,27169,246.0,326389.428,44489.657,281899.771,1.207,133.691
42103,p46011,8,27170,264.0,129597.179,42730.205,86866.974,0.99,121.953
42104,p46011,8,27549,252.0,428954.446,113135.044,315819.401,14.189,107.661
42105,p46011,8,27550,270.0,129761.455,54450.167,75311.288,2.52,107.481
42106,p46011,8,27551,270.0,112632.553,42852.221,69780.332,0.99,115.202
42107,p46011,9,26791,270.0,76530.313,35778.074,40752.238,0.09,140.999
42108,p46011,9,27171,270.0,90702.13,42393.409,48308.721,0.9,126.707
42109,p46011,9,27548,264.0,205728.355,157064.427,48663.929,24.041,115.421
42110,p46013,7,21078,258.0,64413.33,46406.646,18006.684,1.44,412.273
42111,p46013,7,21079,252.0,62778.151,38005.578,24772.573,0.36,426.722
42112,p46013,7,21080,252.0,138769.155,114566.662,24202.493,14.968,429.599
42113,p46013,7,21081,234.0,176369.185,154780.398,21588.787,23.388,426.812
42114,p46013,7,21458,270.0,67581.178,50102.632,17478.545,1.89,400.079
42115,p46013,7,21459,258.0,59880.437,37114.634,22765.804,0.27,415.068
42116,p46013,7,21460,252.0,177523.453,157814.578,19708.875,24.111,400.149
42117,p46013,7,21461,246.0,222873.971,202469.063,20404.909,32.439,425.732
42118,p46013,7,21838,258.0,57876.501,41829.646,16046.855,0.854,389.27
42119,p46013,7,21839,252.0,56648.571,39328.844,17319.727,0.54,403.436
42120,p46013,7,21840,252.0,168849.692,147233.223,21616.469,22.247,378.26
42121,p46013,7,21841,252.0,178419.809,153619.119,24800.69,22.927,366.324
42122,p46013,7,22219,246.0,66453.028,41452.459,25000.569,0.81,391.677
42123,p46013,7,22220,264.0,153748.892,126798.111,26950.781,21.871,358.487
42124,p46013,7,22221,240.0,146174.306,110064.211,36110.095,19.134,358.487
42125,p46013,7,22598,246.0,148829.522,48652.612,100176.91,4.767,360.587
42126,p46013,7,22599,252.0,412860.51,71771.561,341088.949,5.125,358.39
42127,p46013,7,22600,240.0,117004.59,84119.211,32885.379,11.87,358.487
42128,p46013,7,22601,264.0,94644.934,59386.075,35258.859,3.315,359.425
42129,p46013,7,22978,246.0,128277.949,77775.549,50502.4,5.661,346.805
