,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
14839,p21011,1,49682,278.306,92818.547,90991.429,1827.118,4.607,306.553
14840,p21011,1,49683,118.22,139085.834,160134.522,-21048.688,15.612,327.385
14841,p21013,1,53865,6.221,34217.141,64359.102,-30141.961,1.155,345.787
14842,p21013,1,54245,17.735,124177.34700000001,153224.423,-29047.076,3.365,338.466
14843,p21013,1,54625,37.582,190578.97699999998,208385.675,-17806.698,6.58,336.99
14844,p21013,1,55003,14.441,48691.356,75857.16,-27165.804,1.214,378.951
14845,p21013,1,55004,14.155,383134.441,364586.56,18547.881,18.285,378.951
14846,p21013,1,55005,48.452,357600.023,371723.475,-14123.452,20.464,336.99
14847,p21015,1,45874,256.129,986179.503,97738.154,888441.349,3.349,158.337
14848,p21015,1,46254,446.946,805977.973,53498.136,752479.837,0.996,154.09
14849,p21015,1,46634,327.412,225973.798,82935.671,143038.127,2.645,186.186
14850,p21015,1,46635,329.199,934809.47,58828.142,875981.328,1.108,182.919
14851,p21015,1,47015,403.251,227449.729,35000.011,192449.718,0.0,163.555
14852,p21017,1,48918,402.68,166937.761,92940.026,73997.735,5.928,219.31
14853,p21017,1,48919,510.817,221245.832,180238.391,41007.441,14.549,248.176
14854,p21017,1,49299,441.251,202964.606,125977.114,76987.492,7.685,248.048
14855,p21017,1,49300,656.667,92567.677,74635.966,17931.711,2.496,270.518
14856,p21017,2,49298,380.051,320289.442,73205.588,247083.854,2.976,229.825
14857,p21017,2,49678,389.445,265303.599,46233.363,219070.236,0.72,241.933
14858,p21019,1,47789,78.246,320789.39800000004,110758.782,210030.616,3.327,142.353
14859,p21019,1,48169,111.32,130704.76699999999,100008.048,30696.719,2.151,135.804
14860,p21019,1,48170,54.819,108623.23999999999,64540.965,44082.275,0.742,128.163
14861,p21019,1,48549,91.676,209068.522,230368.548,-21300.026,9.486,121.42
14862,p21021,1,51954,264.151,190844.78499999997,201677.039,-10832.254,16.836,242.674
14863,p21021,2,51574,744.714,123536.245,108897.041,14639.204,5.19,251.352
14864,p21021,2,51575,297.462,272947.753,84418.685,188529.068,4.038,275.232
14865,p21021,2,51576,281.646,219337.429,130501.323,88836.106,6.891,321.759
14866,p21023,1,47018,184.279,89076.113,80547.947,8528.166,0.816,200.765
14867,p21023,1,47019,192.68,136727.15899999999,126717.125,10010.034,2.818,212.907
14868,p21023,1,47020,325.103,133736.28399999999,124575.68,9160.604,4.609,223.357
14869,p21023,1,47399,263.747,178783.249,187429.617,-8646.368,8.924,210.012
14870,p21025,1,51205,21.034,568708.746,590431.527,-21722.781,30.505,360.425
14871,p21025,1,51206,16.231,401097.268,429050.333,-27953.065,23.072,65.688
14872,p21025,1,51207,71.555,253027.423,285722.433,-32695.01,13.608,65.688
14873,p21025,1,51208,77.399,274695.484,305544.433,-30848.949,14.319,65.688
14874,p21025,1,51585,17.108,481258.884,505693.08,-24434.196,26.796,359.063
14875,p21025,1,51586,14.385,334716.15900000004,352189.596,-17473.437,17.44,68.909
14876,p21025,1,51587,269.755,81262.14799999999,113699.396,-32437.248,3.296,68.909
14877,p21025,1,51965,10.843,342582.83,373790.503,-31207.673,14.905,114.194
14878,p21025,1,51966,65.982,354950.63899999997,382326.833,-27376.194,19.887,81.369
