t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
start2027_95pct2035,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1120190217.0,995238433.3,870286650.0,745334866.7,620383083.3,495431300.0,370479516.7,245527733.3,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0
start2027_95pct2035_co2eWprecomb,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,1428434010.0,1264951752.0,1101469495.0,937987237.5,774504980.0,611022722.5,447540465.0,284058207.5,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0,120575950.0
start2027_95pct2050_nonlinear,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2223956411.0,2036393822.0,1848831233.0,1661268644.0,1473706056.0,1286143467.0,1098580878.0,911018288.9,723455700.0,683263716.7,643071733.3,602879750.0,562687766.7,522495783.3,482303800.0,442111816.7,401919833.3,361727850.0,321535866.7,281343883.3,241151900.0,200959916.7,160767933.3,120575950.0
start2032_95pct2050,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2223956411.0,2036393822.0,1848831233.0,1661268644.0,1473706056.0,1286143467.0,1098580878.0,911018288.9,723455700.0,663167725.0,602879750.0,542591775.0,482303800.0,422015825.0,361727850.0,301439875.0,241151900.0,180863925.0,120575950.0
start2027_100pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2064501415.8999999,1765955363.6999998,1508887438.3000002,1287751146.0,1097482296.9,933499004.9,792425143.4,671125737.6999999,566706965.0,476757306.29999995,399347546.4,332548470.09999996,275395469.8,225959330.3,183516595.9,146861507.1,115511760.1,88261595.4,65111013.0,44854253.4,27732468.5,12781050.7,0.0
start2027_96pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2078488226.1,1791758617.0,1545060223.3000002,1332846551.3,1150053411.1,992581220.4000001,857295004.5,740818636.8,640499446.4,554167066.2,479651129.09999996,415745875.6,360763242.40000004,313256318.09999996,272501647.0,237534621.5,207149482.10000002,181346228.8,158919102.1,139626950.1,122987468.99999999,108759506.9,96460760.0
start2027_84pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2120207504.8,1869168376.9,1653337426.3999999,1467650463.4,1307766753.7,1170069018.8,1051422284.0,949656182.1999999,861876890.6,786155194.0,721285332.9,665338092.0999999,617107712.1,575629585.3,539939104.1,509312812.8,482786103.79999995,460117825.2,440343369.40000004,423703888.3,408993622.4,396694875.5,385843040.0
start2027_64pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2189418100.1,1998425795.3,1833960199.5,1692404034.2,1570381172.8,1465721248.2,1375289285.7,1297638373.9,1230839297.6,1173203993.5,1123767854.0,1081083967.7,1044428878.9,1012837980.0,985587815.3000001,962196081.0,941939321.4,924576384.6,909866118.7,896843916.1,885750928.7,876346004.6,868146840.0
start2027_36pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2286602315.8,2179048568.4,2086687390.6999998,2006866111.8000002,1938378972.1999998,1879537908.6,1828654857.7,1785006363.8,1747386667.4,1715072312.8000002,1687098692.4,1663224654.3,1642485590.9,1624640350.3,1609447780.6,1596184426.1000001,1584850286.8,1575204210.8,1566763894.3000002,1559529337.3000002,1553259387.9,1547954046.1000001,1543372160.0
start2027_0pct2050_cave_15,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,4808220000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0,2411519000.0
